"cellType","Comparison","psi","OddsRatio","pvalue","pvalBH","SymbolsIn","Bonf_sig"
"Epi","dACC_down","psi<1e-04",18.4992784992785,0.0565590403679587,1,"CAPSL",FALSE
"Cpu.D2","Cortex_up","psi<1e-04",5.45567986230637,0.0580162271421786,1,"PDE1B;HRH3",FALSE
"Cb.septin4","BLA_up","psi<0.001",18.5755813953488,0.0592153042692364,1,"RDH5",FALSE
"Ctx.pnoc","dlPFC_either","psi<1e-04",17.9104895104895,0.0592303058644844,1,"PTHLH",FALSE
"Cb.Lypd6","BLA_down","psi<0.05",5.33221194280908,0.0602166681414568,0.94854952327933,"GRIA4;SLC6A1",FALSE
"Ctx.cort","Cortex_either","psi<1e-04",21.3350168350168,0.0604134456204343,0.909744060563622,"CRHBP",FALSE
"Cb.septin4","BLA_either","psi<0.05",2.87238493723849,0.0614227933736677,0.697018640665721,"TIMP4;GRIA4;MICAL1;RDH5",FALSE
"Ctx.cnp","MeA_up","psi<0.001",5.20802620802621,0.0615494374844986,1,"TRIM13;PRR5L",FALSE
"Cb","dlPFC_either","psi<0.01",5.18030118030118,0.0618235770831691,0.692405679648569,"EXPH5;RGS8",FALSE
"Ctx.glt25d2","dACC_either","psi<0.05",2.22397813688213,0.0620607608661596,0.362021105052598,"EMX1;MPPED1;SLC6A17;PARM1;SLC6A7;NCEH1",FALSE
"RetR.Rods","Amygdala_up","psi<1e-04",16.6640625,0.0637081624467635,0.743261895212241,"RCVRN",FALSE
"RetC.Cones","BLA_either","psi<0.05",2.48780487804878,0.0646976870064118,0.697018640665721,"IGF1;NEDD4;RGS5;MKRN3;KDM3B",FALSE
"Ctx.Aldh1L1","MeA_down","psi<0.001",5.03560126582278,0.0647546765523912,1,"LMCD1;SLC25A18",FALSE
"Ctx.cnp","MeA_up","psi<0.01",3.42650799418605,0.0649019271364993,1,"PLOD1;TRIM13;PRR5L",FALSE
"Ctx.pnoc","Cortex_up","psi<0.001",5.09116465863454,0.0650532393681959,1,"RPP25;ZBTB38",FALSE
"Ctx.Aldh1L1","MeA_either","psi<1e-04",5.02648221343873,0.0653116069181199,1,"LMCD1;SLC25A18",FALSE
"Cb.Aldh1L1","Amygdala_either","psi<1e-04",15.7432432432432,0.0657788649430598,0.767420091002365,"HSD11B1",FALSE
"Ctx.Aldh1L1","MeA_down","psi<0.01",3.35993615323224,0.0666152636272588,0.466306845390811,"LMCD1;SLC25A18;MFSD2A",FALSE
"Ctx.glt25d2","dACC_up","psi<0.001",16.1199494949495,0.0677904879519757,1,"MPPED1",FALSE
"Cb","Cortex_down","psi<0.05",3.38560551124003,0.0692381718469684,0.85772738509938,"ANXA1;CCNL1;RUFY2",FALSE
"Ctx.pnoc","dACC_up","psi<0.05",3.26159793814433,0.0706700869116109,0.353350434558055,"PARM1;TMEM130;ZBTB38",FALSE
"Cpu.D1","dACC_either","psi<0.01",2.65437302423604,0.0714229016613471,1,"PWWP2B;ITPR1;TEF;RASD2",FALSE
"Cpu.D1","dlPFC_up","psi<0.01",4.76313813813814,0.0721831086191422,0.751672433503117,"TEF;RASD2",FALSE
"Cpu","dACC_either","psi<0.05",2.3240977708542,0.0728061972155059,0.36403098607753,"DCC;MYT1L;KCNQ5;NRGN;RASD2",FALSE
"Cpu.D2","Cortex_either","psi<0.001",3.21836734693878,0.0736423177516373,0.957248784942138,"PDE1B;RASD2;HRH3",FALSE
"Ctx.Aldh1L1","MeA_either","psi<0.01",2.61860174781523,0.0743010025050547,0.536239168616461,"LMCD1;CCDC80;SLC25A18;MFSD2A",FALSE
"Ctx.pnoc","BLA_down","psi<0.001",13.7774193548387,0.074327319670714,1,"IGF1",FALSE
"Ctx.glt25d2","MeA_either","psi<0.001",14.3637387387387,0.0756443018807121,1,"QRFPR",FALSE
"Ctx.etv1_ts88","Cortex_down","psi<0.05",3.24113660062565,0.0764451438047338,0.85772738509938,"CRHBP;ARHGEF1;ADHFE1",FALSE
"Ctx.pnoc","Cortex_up","psi<0.05",2.5800368928059,0.0772971865994411,0.270540153098044,"RPP25;PARM1;TMEM130;ZBTB38",FALSE
"Cpu.D2","Cortex_either","psi<0.01",2.274938289531,0.0778381470990168,0.681083787116397,"PWWP2B;PDE1B;RUFY2;RASD2;HRH3",FALSE
"Cpu.D2","Cortex_either","psi<1e-04",4.5859318346628,0.0779780623340248,0.909744060563622,"PDE1B;HRH3",FALSE
"Ctx.cort","Amygdala_either","psi<0.05",4.54551971326165,0.0781031892659321,0.683402906076906,"CRHBP;GPD1L",FALSE
"Ctx.cort","Amygdala_down","psi<0.01",12.7063492063492,0.0803048904233626,1,"CRHBP",FALSE
"Cb.cnp","MeA_up","psi<0.01",3.1041563582385,0.0812785709049375,1,"PLOD1;TRIM13;PRR5L",FALSE
"RetR.Rods","Amygdala_up","psi<0.001",12.8303212851406,0.0816100847262128,0.952117655139149,"RCVRN",FALSE
"Ctx.pdgfrajd340","dACC_up","psi<0.05",0,0.082201649369162,0.359632215990084,"",FALSE
"Cb.Neurod1","dlPFC_up","psi<0.001",12.3638996138996,0.0822334998269248,1,"EXPH5",FALSE
"Ctx.Ntsr","MeA_either","psi<0.01",4.36020583190395,0.082722125818772,0.536239168616461,"EGR2;HS3ST2",FALSE
"Ctx.pnoc","BLA_up","psi<0.05",13.0573770491803,0.0827919052361934,1,"CRYBB3",FALSE
"Cb.septin4","Amygdala_up","psi<0.05",4.69015151515152,0.0830817737519938,1,"HSD11B1;RDH5",FALSE
"Epi","Cortex_down","psi<0.001",11.8592592592593,0.085447028328732,1,"CAPSL",FALSE
"Ctx.glt25d2","MeA_either","psi<0.05",2.21236901727556,0.0855069070614585,0.598548349430209,"EGR2;HS3ST2;NPAS4;QRFPR;SMC1A",FALSE
"RetC.Cones","Cortex_up","psi<0.05",0.419631001467608,0.0855933026910034,0.272342326744102,"TSPAN9;CTSC;TEF;ZDHHC5",FALSE
"RetC.Cones","Cortex_down","psi<0.05",2.57794757508225,0.0859610940245465,0.85772738509938,"ANXA1;RBL2;CCNL1;PCBP4",FALSE
"RetC.Cones","BLA_down","psi<0.05",2.57794757508225,0.0859610940245465,0.94854952327933,"IGF1;NEDD4;RGS5;KDM3B",FALSE
"Ctx.pnoc","Cortex_either","psi<0.001",4.27952622673435,0.0871729643143644,0.957248784942138,"RPP25;ZBTB38",FALSE
"Ctx.Ntsr","dACC_either","psi<0.05",2.18573224387178,0.0883935190184095,0.386721645705542,"EMX1;GRIN1;NCEH1;NRGN;CAPSL",FALSE
"Cb.Lypd6","Cortex_up","psi<0.01",2.94382284382284,0.0892722867645867,0.705265948331604,"ASGR1;MGAT5B;ARL4C",FALSE
"Cpu.D2","dlPFC_either","psi<0.05",2.47107930828861,0.0898340662127054,0.8008175078164,"HDAC4;TEF;MAPKBP1;RASD2",FALSE
"Ctx.glt25d2","dACC_either","psi<0.001",11.9671052631579,0.0898903382981072,1,"MPPED1",FALSE
"Cb.Grm2","MeA_down","psi<0.05",2.94234360410831,0.0899119553228375,0.56300562093157,"GPR3;SPA17;LYPD1",FALSE
"Ctx.pnoc","dlPFC_up","psi<0.001",11.1647776809067,0.0903546495515453,1,"PTHLH",FALSE
"Ctx.glt25d2","MeA_either","psi<0.01",4.12564935064935,0.0905733543378899,0.536239168616461,"NPAS4;QRFPR",FALSE
"Cb.grp","dlPFC_up","psi<0.05",4.13954248366013,0.0912810893499443,0.798709531812013,"SLC29A4;HSPB6",FALSE
"Ctx.etv1_ts88","MeA_either","psi<0.01",2.89977064220183,0.0919267146199647,0.536239168616461,"NPAS4;LMCD1;SLC25A18",FALSE
"Ctx.etv1_ts88","Amygdala_down","psi<0.001",10.8852040816327,0.0927773187549185,1,"RGS5",FALSE
"Epi","dACC_down","psi<0.001",10.7786195286195,0.0933286136832161,1,"CAPSL",FALSE
"Cb.Lypd6","BLA_either","psi<0.05",4.06643132220796,0.0937939241352187,0.697018640665721,"GRIA4;SLC6A1",FALSE
"Cb.Aldh1L1","Amygdala_up","psi<0.05",4.35024665257223,0.0940386626281582,1,"HSD11B1;RDH5",FALSE
"Cb.cnp","MeA_up","psi<0.001",4.03242212333121,0.0946057585738365,1,"PLOD1;PRR5L",FALSE
"Ctx.pnoc","BLA_either","psi<0.001",10.590570719603,0.0948842906384207,1,"IGF1",FALSE
"BF","dlPFC_up","psi<0.01",10.4864864864865,0.0957298309393907,0.751672433503117,"ACTA2",FALSE
"Ctx.cort","Cortex_either","psi<0.05",2.12357569180684,0.0964294727766685,0.33750315471834,"CRHBP;PPL;TMEM44;KCNQ5;NRGN",FALSE
"RetR.Rods","Cortex_down","psi<0.05",2.89753587024329,0.0980259868685006,0.85772738509938,"HIPK2;ARHGEF1;USP40",FALSE
"Ctx.cort","Cortex_down","psi<0.01",10.1603174603175,0.0986201078318794,1,"CRHBP",FALSE
"Ctx.cort","BLA_down","psi<0.01",10.1603174603175,0.0986201078318794,1,"NXPH2",FALSE
"Cb.cnp","dlPFC_either","psi<0.05",2.13819691577699,0.0993367626567108,0.8008175078164,"APOD;CSF1;POLR3E;FAM178B;PRRG1",FALSE
"Cb.grp","BLA_either","psi<0.05",3.92105263157895,0.0995740915236744,0.697018640665721,"TIMP4;RDH5",FALSE
"Ctx.etv1_ts88","dlPFC_either","psi<0.01",3.88674625038261,0.0999644461179844,0.692405679648569,"ACTA2;TXNIP",FALSE
